Exam_Type,Class,language,Subject,Chapter_Name,chapter_number,Question,Question type,Marks,Year,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. The value of current gain \( \beta \) is - (i) \( \frac{\Delta I_b}{\Delta I_c} \) (ii) \( \frac{I_b}{I_c} \) (iii) \( \frac{\Delta I_c}{\Delta I_b} \) (iv) \( \frac{I_c}{I_b} \)</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,"<p>Q. The wavelength of a photon is 5000 Å. Its momentum will be - (i) \(1.32 \times 10^{-27} \, \text{kg} \cdot \text{meter/sec}\) (ii) \(1.5 \times 10^{-27} \, \text{kg} \cdot \text{meter/sec}\) (iii) \(2.32 \times 10^{-27} \, \text{kg} \cdot \text{meter/sec}\) (iv) \(5 \times 10^{-27} \, \text{kg} \cdot \text{meter/sec}\)</p>",Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. At zero Kelvin Germenium is - (i) Superconductor (ii) Good conductor (iii) Insulator (iv) Semiconductor</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. The radius of spherical conductor of 1 microfarad capacitance will be - (i) 90 km. (ii) 9 km. (iii) 9000 km. (iv) \(9 \times 10^5\) meter</p>,Multiple Choice Question,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. _____ Electric lines of force are passing through 1 coulomb charge.</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Atoms,12,<p>Q. Rest mass of electron is _____</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. The frequency of Direct current is _____</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Electric potential of Earth is considered _____</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Temperature coefficient of resistance is _____ for semiconductor.</p>,Fill in the Blanks,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Atoms,12,<p>Q. Which type of spectrum of neon lamp.</p>,One Word Answer,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Which logic gate is represented by Boolean expression \( y = \overline{A} + \overline{B} \)?</p>,One Word Answer,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Why is core of transformer laminated.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Which microscope is also called reading lens.</p>,One Word Answer,1,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. How does the resolving power of microscope depends on the wavelength of light used.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Write two conditions for two optical sources to become coherent source.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Define conjugate focci.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. Write the two laws of photo electric effect.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. What is cut off potential.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Give two characteristics of laser rays.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. What is thermistor write with uses.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. What is superconductor write with uses.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Establish the relation between critical angle and refractive index of medium.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Write the reason for twinkling of stars.</p>,Very Short Answer,2,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. Establish the relation between electric current and drift velocity.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. If length of a conducting wire becomes twice when stretched. Then how many times resistance will increase calculate?</p>,Numerical Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Deduce the formula for refractive index of material of prism.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Give the reason any lens is dipped inside the liquid then its focal length increases; why?</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Moving Charges and Magnetism,4,<p>Q. With the help of Biot-Severt's law obtain an expression for intensity of magnetic field near a straight long current carrying conductor.</p>,Long Answer,5,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Magnetism and Matter,5,<p>Q. Derive the expression of resultant intensity of magnetic field at a point which is equidistant from poles of a small bar magnet.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Prove that : \( I_{\text{rms}} = \frac{I_0}{\sqrt{2}} \) where \( I_{\text{rms}} \) & \( I_0 \) have usual meaning.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Induction,6,<p>Q. What are eddy currents explain with experimental demonstration.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. What are electromagnetic waves. Write their characteristics (any six)</p>,Long Answer,5,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Define - (a) Plane of vibration (b) Plane of polarization</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Deduce the expression for magnifying power of terrestrial telescope when final image is formed at least distance of distinct vision.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Derive the expression for magnifying power of simple microscope when image is formed at least distance of distinct vision.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. What is optical fibre. What are main parts of it. Explain.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Explain OR gate and AND gate on the basis of following points : (i) Symbol (ii) Truth Table (iii) Boolean expression</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. Explain flow of current in P-N junction diode as forward biasing.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Explain RC alternating circuit on the basis of following points. (i) Resultant potential difference (ii) Impedance of circuit (iii) Phase difference between resultant voltage and current.</p>,Long Answer,5,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. How many types of energy loss in transformer explain.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Deduce the electric potential at any point due to point charge.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. State and prove Gauss's theorem.</p>,Short Answer,3,2017,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. The intensity of electric field \( E \) due to charge \( Q \) at distance \( r \): (i) \( E \propto r \) (ii) \( E \propto \frac{1}{r} \) (iii) \( E \propto \frac{1}{r^2} \) (iv) \( E \propto \frac{1}{r^3} \)</p>,Multiple Choice Question,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. The resistance of an ideal ammeter should be : (i) very high (ii) very low (iii) zero (iv) infinite</p>,Multiple Choice Question,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Infrared rays lie between : (i) γ-rays and ultraviolet rays (ii) micro waves and visible light (iii) visible light and ultraviolet rays (iv) ultraviolet rays and X-rays</p>,Multiple Choice Question,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,"<p>Q. The P-type semiconductor is : (i) positively charged (ii) negatively charged (iii) uncharged at 0 K, but negatively charged at a high temperature (iv) uncharged</p>",Multiple Choice Question,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. The sound signal produced by a tunning fork is : (i) only digital (ii) only analog (iii) both analog and digital (iv) neither digital nor analog</p>,Multiple Choice Question,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Write two uses of gamma rays.</p>,Very Short Answer,2,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. What is a polaroid? Write any two applications.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. What is reflection? Write the laws of reflection.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Draw a ray diagram for the image formed by a concave mirror when the object is placed between pole and focus and write the conclusion.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. Establish Einstein's relation \( \frac{1}{2}mu^2 = h\nu - h\nu_0 \) with respect to photoelectric emission.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. The work function of a metal is 0.1 eV. Calculate the threshold frequency for photoelectric emission.</p>,Numerical Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. Explain Kirchhoff's laws of distribution of currents along with the diagram.</p>, Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,"<p>Q. How should the resistances \(2 \, \Omega\), \(3 \, \Omega\) and \(6 \, \Omega\) be connected so that the equivalent resistance is \(4 \, \Omega\)? Also draw a diagram of the combination.</p>",Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,"<p>Q. Establish the relation among electromotive force, terminal voltage and internal resistance of a cell.</p>",Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,"<p>Q. A Leclanche cell is balanced on length 280 cm of the potentiometer wire. When a Daniel cell is joined in series with this cell, the balance point is obtained at 480 cm distance. Calculate the e.m.f.s of the two cells.</p>",Numerical Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,"<p>Q. When two thin lenses of focal lengths \( f_1 \) and \( f_2 \) are kept in contact, prove that their combined focal length \( f \) is given by \( \frac{1}{f} = \frac{1}{f_1} + \frac{1}{f_2} \).</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Prove that \( - a_\mu w \times w^\mu g_{\mu a} = 1 \) where the symbols have their usual meanings.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. Write essential conditions for obtaining pure spectrum. (any three)</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,"<p>Q. From a prism of refracting angle \(60^\circ\), the angle of minimum deviation is \(30^\circ\). Calculate : (i) the angle of incidence (ii) the angle of refraction (iii) the refractive index of material of prism.</p>",Numerical Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Moving Charges and Magnetism,4,<p>Q. Find the expression for intensity of magnetic field produced at a point on the axis of a current carrying circular coil.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Magnetism and Matter,5,"<p>Q. Write any four differences among diamagnetic, paramagnetic and ferromagnetic substances.</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Induction,6,<p>Q. Derive expression for the self-inductance of a long solenoid. What factors affect its value?</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. What is the principle of choke coil? Why is the current in the choke coil called wattless current? Write its application in current control.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Derive an expression for the height of the antenna required to transmit the television signal to a distance \( d \) on the earth surface.</p>, Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. Write four differences between interference and diffraction.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,"<p>Q. Draw a labelled ray diagram of compound microscope and derive the expression for magnifying power, when the final image is formed at least distance of distinct vision \( D \). What will be the length of the microscope tube in this case ?</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,"<p>Q. Draw a labelled ray diagram of Galilean telescope and derive the expression for magnifying power, when the final image is formed at least distance of distinct vision \( D \). What will be the length of the telescope tube in this case ?</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. What is the principle of Semiconductor Laser? Write its any two advantages and disadvantages.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. What are carrier waves? Why do we need the carrier waves of high frequency for distant communication?</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electrostatic Potential and Capacitance,2,<p>Q. Derive expression for the capacity of a parallel plate condenser. How can its capacity be increased?</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. What is meant by an electric dipole? Derive an expression for electric field intensity due to an electric dipole in axial position at a point.</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. Determine the following in an alternating L-C-R circuit : (i) Resultant voltage (ii) Impedance in the circuit (iii) Phase difference between the resultant voltage and current.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Alternating Current,7,<p>Q. What is a dynamo? Describe an a.c. dynamo under the following headings: (i) Principle (ii) Labelled diagram (iii) Working.</p>,Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,"<p>Q. Explain by drawing a circuit diagram, how is a PNP transistor in common emitter configuration used as an amplifier? Also derive expression for current gain, potential gain.</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,"<p>Q. How will you obtain AND, OR and NOR gates by using NAND and NOT gates? Write symbol, Boolean formula and truth table.</p>",Long Answer,5,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. Potentiometer is also called an _____ voltmeter.</p>,Fill in the Blanks,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. The speed of light in denser medium is _____ than speed in rarer medium.</p>,Fill in the Blanks,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. In a Galilean telescope the eye lens is a _____ lens.</p>,Fill in the Blanks,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Dual Nature of Radiation and Matter,11,<p>Q. The concept of photon was first given by _____.</p>,Fill in the Blanks,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electric Charges and Fields,1,<p>Q. Charge on an electron = _____ coulomb.</p>,Fill in the Blanks,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. What is the direction of electron flow : from low potential to high potential or from high potential to low potential ?</p>,Very Short Answer,2,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Wave Optics,10,<p>Q. When one can notice the phenomenon of diffraction of light ?</p>,Very Short Answer,2,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Ray Optics and Optical Instruments,9,<p>Q. When is total internal reflection of light possible?</p>,Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,"Semiconductor Electronics: Materials, Devices and Simple Circuits",14,<p>Q. What will be the effect of increasing the temperature on the conductivity of pure semiconductor?</p>, Short Answer,3,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Electromagnetic Waves,8,<p>Q. Who invented the television transmission?</p>,One Word Answer,1,2018,,,,,,,,,,,,,,,,
Board,Class 12th,English,Physics,Current Electricity,3,<p>Q. The Specific Resistance or Resistivity of a wire depends on : (i) its length (ii) its diameter (iii) its mass (iv) its material</p>,Multiple Choice Question,1,2019,,,,,,,,,,,,,,,,
